#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TT.L_Close [253,253] Werte
# TSCO.L_Close [253,253] Werte
# BP.L_Close [253,253] Werte
# BG.L_Close [253,253] Werte
# MGGT.L_Close [253,253] Werte
# AGK.L_Close [253,253] Werte
# RIO.L_Close [253,253] Werte
# SBRY.L_Close [253,253] Werte
# TLW.L_Close [253,253] Werte
# CCL.L_Close [253,253] Werte
# VOD.L_Close [253,253] Werte
# SVT.L_Close [253,253] Werte
# BLT.L_Close [253,253] Werte
# REX.L_Close [253,253] Werte
# MKS.L_Close [253,253] Werte
# ANTO.L_Close [253,253] Werte
# AZN.L_Close [253,253] Werte
# UU.L_Close [253,253] Werte
# SSE.L_Close [253,253] Werte
# RDSB.L_Close [253,253] Werte
# BA.L_Close [253,253] Werte
# AAL.L_Close [253,253] Werte
# MRW.L_Close [253,253] Werte
# NG.L_Close [253,253] Werte
# MNDI.L_Close [253,253] Werte
# BT-A.L_Close [253,253] Werte
# CNA.L_Close [253,253] Werte
# EZJ.L_Close [253,253] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1321344000000.0000	159.8000	405.0000	457.1500	1367.5000	382.9000	1780.0030	3458.0000	305.4000	1362.0000	2156.0000	102.7090	1600.0000	3922.0000	331.0000	332.8000	1166.0000	2905.0000	637.0000	1318.0000	2288.0000	284.5000	2453.5000	320.0000	629.0000	449.2000	192.3000	302.0000	356.4000	
1298966400000.0000	237.1000	400.5500	490.0000	1452.5000	351.7000	1465.9970	4294.0000	370.8000	1408.0000	2601.0000	99.2120	1468.0000	4855.0000	365.9000	339.8000	1418.0000	2980.5000	586.5000	1218.0000	2174.5000	324.0000	3306.0000	278.0000	565.0000	550.0000	180.8000	333.5000	354.4000	
1306998000000.0000	230.1000	414.3500	455.6500	1330.0000	362.6000	1872.9960	4142.5000	338.7000	1302.0000	2395.0000	91.4770	1493.0000	4654.0000	391.4000	380.6000	1269.0000	3125.0000	613.0000	1387.0000	2125.5000	325.4000	2950.0000	301.2000	592.0000	611.0000	199.5000	314.6000	360.1000	
1310108400000.0000	229.1000	411.5000	458.5000	1412.5000	389.1000	2004.9980	4501.5000	327.6000	1303.0000	2343.0000	94.0080	1499.0000	4908.0000	386.7000	378.9000	1424.0000	3129.0000	607.0000	1413.0000	2272.0000	310.8000	3128.0000	299.9000	614.0000	655.0000	201.5000	327.5000	343.2000	
1297670400000.0000	243.7000	394.3000	480.0000	1520.0000	364.2000	1534.9950	4682.0000	389.0000	1440.0000	2952.0000	102.3110	1446.0000	5110.0000	374.1000	363.5000	1486.0000	3004.0000	577.5000	1183.0000	2093.5000	352.2000	3437.0000	275.0000	572.5000	533.0000	183.8000	340.3000	379.7000	
1302591600000.0000	232.4000	398.0500	461.3500	1488.0000	342.0000	1611.0010	4403.0000	338.0000	1413.0000	2476.0000	99.8080	1439.0000	5088.0000	372.4000	360.6000	1411.0000	2982.0000	601.0000	1311.0000	2208.0000	334.4000	3187.0000	283.4000	586.0000	595.5000	189.3000	321.6000	336.0000	
1305702000000.0000	239.3000	416.8000	441.0500	1373.0000	361.1000	1715.0000	4162.5000	344.0000	1336.0000	2566.0000	97.5060	1496.0000	4759.0000	384.1000	393.1000	1208.0000	3194.0000	616.5000	1313.0000	2170.0000	336.8000	2976.0000	303.0000	614.5000	603.0000	195.7000	318.0000	353.7010	
1324281600000.0000	153.6000	383.8500	437.6500	1314.0000	337.3000	1848.0000	3027.0000	288.2000	1299.0000	2136.0000	99.2400	1465.0000	3633.0000	338.5000	307.6000	1150.0000	2949.0000	590.0000	1245.0000	2333.0000	269.6000	2274.5000	316.5000	607.5000	430.7000	187.0000	282.9000	381.6000	
1313046000000.0000	155.0000	367.2000	396.6000	1225.0000	333.6000	1768.0010	3531.5000	296.9000	1045.0000	1830.0000	91.9320	1432.0000	3932.0000	351.9000	331.9000	1218.0000	2689.5000	584.0000	1214.0000	1948.0000	252.7000	2386.0000	279.0000	579.0000	526.0000	169.2000	296.0000	330.6010	
1309935600000.0000	227.2000	406.6500	455.0000	1448.0000	382.3000	1989.9960	4493.5000	331.7000	1313.0000	2420.0000	93.7230	1492.0000	4942.0000	391.8000	376.5000	1437.0000	3145.0000	603.5000	1412.0000	2255.5000	315.6000	3116.0000	299.3000	615.5000	647.0000	202.7000	326.1000	358.2000	
