#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TT.L_Close [260,260] Werte
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [260,260] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [261,261] Werte
# CCL.L_Close [261,261] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# RDSB.L_Close [261,261] Werte
# BA.L_Close [260,260] Werte
# AAL.L_Close [261,261] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# MNDI.L_Close [260,260] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
# EZJ.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1328688000000.0000	200.6000	329.4000	489.7500	1446.0000	364.8000	2148.0000	3873.5000	294.5000	1483.0000	1980.0000	98.7280	1518.0000	4260.0000	378.9000	345.6000	1326.0000	3010.0000	601.0000	1250.0000	2327.0000	314.1000	2862.0000	291.6000	647.0000	532.0000	212.7000	294.5000	460.0000	
1336719600000.0000	185.4000	323.7500	415.1000	1336.5000	397.5000	2202.9950	3142.0000	315.4000	1463.0000	2002.0000	97.8180	1693.0000	3728.0000	403.7000	360.0000	1040.0000	2708.0000	642.0000	1343.0000	2132.0000	279.3000	2187.0000	281.0000	682.5000	536.5000	209.7000	317.4000	534.0000	
1351580400000.0000	250.1000	318.8000	442.8500	1329.5000	387.5000	2129.0020	3142.5000	354.9000	1382.0000	2506.0000	97.2780	1651.0000	4020.0000	449.2000	395.1000	1266.0000	2918.5000	695.0000	1443.0000	2203.5000	312.6000	1937.0000	269.1000	702.5000	674.5000	215.6000	324.3000	619.0000	
1348470000000.0000	231.0000	337.6500	443.0000	1253.5000	398.9000	2358.9970	2980.0000	347.8000	1388.0000	2266.0000	101.2300	1739.0000	3897.0000	437.3000	369.5000	1260.0000	2962.5000	727.0000	1389.0000	2256.5000	334.6000	1887.5000	294.1000	687.5000	611.0000	233.5000	338.3000	589.0000	
1327392000000.0000	189.4000	330.0000	477.4000	1472.0000	370.0000	2051.0010	3700.0000	290.3000	1387.0000	1990.0000	100.2350	1522.0000	4258.0000	376.7000	331.1000	1359.0000	3056.5000	599.0000	1253.0000	2398.0000	316.5000	2656.5000	296.2000	622.0000	504.0000	208.8000	287.5000	405.0000	
1332313200000.0000	193.3000	332.3000	481.5500	1509.5000	396.1000	2259.9990	3436.0000	319.3000	1480.0000	2031.0000	97.4200	1577.0000	3894.0000	423.2000	389.5000	1192.0000	2851.5000	610.0000	1315.0000	2258.5000	309.0000	2503.0000	304.0000	636.0000	595.5000	217.6000	313.8000	443.8000	
1354003200000.0000	268.8000	321.2000	431.2500	1060.0000	381.0000	2235.0050	2978.5000	333.6000	1360.0000	2505.0000	89.2300	1554.0000	3887.0000	434.6000	378.7000	1238.0000	2881.5000	669.0000	1399.0000	2140.5000	319.7000	1714.5000	260.9000	712.5000	638.0000	226.3000	321.5000	703.0000	
1342767600000.0000	175.0000	325.0000	439.8500	1289.5000	400.5000	1957.0010	2891.5000	316.8000	1430.0000	2135.0000	102.3680	1727.0000	3633.0000	442.1000	325.1000	1064.0000	2985.5000	698.0000	1393.0000	2299.5000	307.2000	2028.5000	274.7000	654.0000	563.0000	224.4000	317.6000	553.5000	
1339657200000.0000	158.9000	305.2500	416.7000	1226.0000	364.7000	2160.0020	2866.0000	284.9000	1427.0000	2176.0000	99.9790	1796.0000	3553.0000	403.1000	323.0000	1054.0000	2699.5000	680.5000	1390.0000	2171.0000	277.2000	2092.0000	277.5000	660.0000	523.5000	201.7000	312.5000	497.9000	
1330329600000.0000	197.8000	318.0000	501.7000	1540.5000	390.5000	2227.0000	3702.0000	298.9000	1531.0000	1841.0000	97.8180	1540.0000	4178.0000	416.0000	360.1000	1340.0000	2841.0000	606.0000	1283.0000	2346.0000	316.0000	2675.0000	286.9000	646.5000	591.5000	217.8000	297.4000	452.3000	
