#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TT.L_Close [249,249] Werte
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [261,261] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [261,261] Werte
# CCL.L_Close [261,261] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# RDSB.L_Close [261,261] Werte
# BA.L_Close [261,261] Werte
# AAL.L_Close [261,261] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# MNDI.L_Close [261,261] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
# EZJ.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1410850800000.0000	362.1000	225.1500	472.3500	1161.5000	480.8000	1616.0000	3231.5000	282.0000	686.5000	2388.0000	201.3500	1932.0000	3672.0000	498.8000	423.9000	762.0000	4511.5000	846.0000	1496.0000	2499.5000	456.7000	1497.5000	176.3000	887.0000	1075.0000	386.6000	319.5000	1335.0000	
1389772800000.0000	427.5000	332.2500	492.8500	1334.5000	537.0000	1712.9960	3254.0000	356.2000	863.0000	2600.0000	135.6090	1641.0000	3583.0000	516.0000	480.2000	790.0000	3845.0000	659.0000	1320.0000	2296.5000	436.6000	1332.5000	247.8000	783.0000	1043.0000	386.0000	315.5000	1685.0000	
1394694000000.0000	429.0000	298.7500	478.5000	1070.5000	447.7000	1504.9970	3162.0000	304.9000	779.5000	2347.0000	224.4000	1820.0000	3580.0000	481.5000	458.8000	835.5000	3979.0000	794.0000	1417.0000	2300.0000	392.0000	1411.5000	205.2000	822.0000	1068.0000	397.9000	334.8000	1634.0000	
1409554800000.0000	368.9000	225.5500	482.7000	1217.0000	477.6000	1700.0000	3231.0000	289.5000	730.0000	2260.0000	206.7000	1942.0000	3810.0000	504.0000	441.0000	780.5000	4577.5000	873.0000	1519.0000	2554.0000	456.0000	1523.5000	173.5000	902.5000	1012.0000	385.6000	322.0000	1342.0000	
1419494400000.0000	416.6000	186.0000	416.8500	881.2000	516.0000	1532.0000	2887.5000	244.7000	422.3000	2859.0000	225.0000	2038.0000	2738.0000	460.9000	483.9000	745.5000	4555.5000	931.0000	1629.0000	2281.0000	474.1000	1182.0000	181.7000	918.8000	1062.0000	416.7000	284.7000	1678.0000	
1416384000000.0000	410.2000	194.1000	440.1500	1027.5000	479.6000	1579.0000	2942.0000	262.6000	471.0000	2650.0000	228.6000	2081.0000	3250.0000	445.3000	475.7000	706.5000	4766.5000	914.5000	1592.0000	2322.0000	463.0000	1323.0000	182.2000	960.5000	1076.0000	381.0000	298.6000	1542.0000	
1402038000000.0000	448.6000	290.5500	505.0000	1251.0000	522.0000	1687.0000	3168.5000	326.1000	845.5000	2462.0000	207.0000	1985.0000	3784.0000	536.0000	451.0000	772.5000	4328.0000	885.5000	1556.0000	2467.0000	427.2000	1465.0000	193.0000	848.5000	1123.0000	405.2000	335.5000	1603.0000	
1392710400000.0000	414.3000	329.7000	495.1000	1095.0000	515.0000	1615.9970	3570.5000	345.0000	782.0000	2522.0000	127.3910	1793.0000	3898.0000	524.5000	496.3000	950.0000	4092.5000	760.0000	1392.0000	2336.0000	437.6000	1587.0000	232.6000	825.0000	1035.0000	418.1000	314.4000	1753.0000	
1397631600000.0000	407.8000	293.8000	478.5000	1128.0000	466.2000	1501.9990	3305.5000	320.6000	875.5000	2205.0000	212.0000	1800.0000	3819.0000	495.8000	427.7000	846.0000	3758.5000	775.0000	1505.0000	2384.5000	376.0000	1538.5000	202.0000	829.0000	985.0000	362.0000	343.3000	1653.0000	
1400742000000.0000	443.9000	303.4500	508.2000	1234.0000	471.0000	1719.0020	3230.0000	342.5000	851.5000	2402.0000	204.1500	1941.0000	3871.0000	527.0000	447.8000	786.0000	4275.0000	857.0000	1542.0000	2456.5000	413.2000	1538.0000	204.9000	881.0000	1052.0000	383.0000	328.7000	1550.0000	
