#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [261,261] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [259,259] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# BA.L_Close [259,259] Werte
# AAL.L_Close [160,160] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
916387200000.0000	195.5000	891.0000	159.5160	101.6940	182.0000	590.2520	388.9460	62.0000	607.6670	601.0780	239.0000	155.0290	285.3920	171.5000	2596.5100	809.0000	616.0000	519.0000	3469.0110	320.0000	391.1130	933.0000	84.9290	
923554800000.0000	158.2500	1021.5000	138.0590	127.2980	211.5000	745.5600	333.6300	52.0000	683.5900	516.7060	308.5990	179.0860	344.5440	240.0000	2754.5900	728.6000	550.5000	419.0000	3520.0070	312.0000	352.6810	1089.0000	79.9930	
941702400000.0000	182.0000	552.5000	132.1800	111.0460	318.5000	849.2360	313.0220	76.0000	171.1820	561.9710	545.9980	220.5150	233.1510	452.0000	2666.7700	598.9000	575.0000	349.5000	3230.0000	141.7500	388.3950	1107.0000	138.9680	
930898800000.0000	170.5000	1181.0000	151.6780	149.8010	224.5000	907.0630	361.6140	63.0000	733.6370	597.9990	458.0000	226.7520	293.3200	297.0000	2412.0900	817.5000	645.0000	421.2500	3109.9890	141.0000	341.6170	1107.0000	120.1760	
922435200000.0000	169.0000	1037.0000	141.0960	139.5590	217.5000	733.1680	327.7740	52.0000	596.0080	535.7970	306.0000	187.5500	307.9550	255.0000	2702.8700	772.1000	573.5000	424.7500	2874.0080	310.0000	342.5880	956.0000	82.3890	
923382000000.0000	161.7500	1011.5000	138.3520	126.2170	214.5000	708.3850	332.5460	52.0000	685.8630	516.0900	296.5990	179.5310	354.7080	251.5000	2874.6000	719.6000	570.0000	434.5000	3336.9880	311.5000	357.9210	1082.0000	79.3400	
926492400000.0000	185.2500	1093.5000	151.1880	140.2810	220.5000	797.6040	357.9270	63.0000	654.0160	573.3640	370.6000	211.6060	327.4690	301.5000	2399.4100	747.1000	620.5000	470.2500	3995.0000	323.0000	341.8110	1040.0000	98.8020	
918028800000.0000	191.7500	865.0000	137.9610	119.3650	195.0000	608.8390	371.5920	58.0000	651.1730	551.1940	225.9990	175.9670	299.4180	168.5000	2607.2500	773.5000	599.5000	441.0000	3450.0100	318.0000	388.2010	954.0000	88.7040	
944640000000.0000	181.0000	614.5000	130.4160	121.1070	349.5000	1028.5000	255.1040	89.0000	177.4380	401.2320	658.5970	211.1600	202.0510	402.5000	2714.5800	516.5000	478.5000	406.5000	3615.0110	127.0000	381.7960	1358.5000	148.0010	
936946800000.0000	193.5000	1189.0000	147.4650	149.4280	286.5000	915.3240	375.9310	86.0000	678.4720	544.7270	529.5980	271.7460	309.7850	371.0000	2369.1600	713.7000	570.0000	464.2500	3487.0020	160.5000	317.3550	933.0000	131.4670	
933836400000.0000	170.2500	1207.0000	150.1100	137.1310	219.5000	1001.6500	338.4030	76.0000	664.2530	563.5110	526.9990	273.9740	297.7910	335.0000	2161.3200	795.0000	582.5000	412.2500	3531.0100	157.0000	321.2360	955.0000	118.1590	
943344000000.0000	183.0000	608.0000	142.6640	123.3430	323.5000	1003.7200	277.4470	83.0000	155.2580	490.2240	583.9980	220.9610	208.5560	440.0000	2809.2300	563.4000	534.5000	408.7500	3976.0000	137.5000	375.0030	1267.0000	132.2740	
929430000000.0000	180.2500	1182.5000	148.4450	149.0550	214.5000	859.1490	315.8430	65.0000	728.5180	566.5900	423.5990	223.6340	297.9950	293.5000	2476.4900	763.6000	625.0000	413.5000	3566.9910	159.0000	353.4570	1067.0000	108.7230	
932540400000.0000	160.2500	1190.0000	147.6610	137.1310	231.5000	924.8240	334.2810	76.0000	766.0530	598.6140	497.5980	276.2020	304.0930	330.0000	2219.8700	828.4000	595.0000	421.0000	3147.0080	150.5000	339.6760	1091.0000	110.9010	
920966400000.0000	167.2500	930.0000	139.2340	127.2980	208.5000	686.0800	304.7790	55.0000	639.2300	543.1880	283.0000	180.8670	316.2890	174.0000	2456.0000	783.0000	555.0000	416.0000	3115.9950	287.5000	339.0940	1073.0000	84.5660	
928134000000.0000	181.7500	1117.0000	134.5310	131.2650	218.5000	755.8860	329.2920	60.0000	676.1960	561.3550	391.6000	219.1790	320.3550	271.0000	2420.8700	752.1000	591.0000	411.7500	2936.0060	166.0000	329.1950	1041.0000	102.0280	
939884400000.0000	184.0000	562.5000	128.5550	131.5410	280.0000	846.7580	320.8320	67.0000	164.8120	553.0410	517.9980	238.5130	243.7210	402.0000	2703.8500	602.4000	562.5000	374.0000	4009.9880	146.0000	355.7860	982.0000	135.5000	
919670400000.0000	173.0000	842.0000	141.6840	119.7250	186.0000	641.8840	311.0700	54.0000	647.7600	578.9070	269.9990	173.7390	302.0600	184.0000	2548.7000	829.4000	582.0000	421.0000	3372.9970	319.5000	357.9210	1059.5000	88.7040	
946281600000.0000	187.0000	623.5000	172.1900	133.4040	366.0000	1123.5000	299.5740	102.0000	173.3430	375.6740	701.9970	223.6340	236.4040	433.5000	2494.0600	638.3000	500.5000	420.0000	3510.9980	123.0000	375.7790	1427.0000	139.9360	
938588400000.0000	192.5000	1092.0000	136.6870	132.6590	278.5000	891.3670	335.8000	77.0000	807.5680	562.2790	500.6000	232.5440	255.5110	395.0000	2490.1500	661.3000	546.0000	399.7500	3960.0020	155.0000	324.5370	965.5000	129.6130	
935478000000.0000	173.0000	1214.0000	148.3470	158.7440	266.5000	950.8470	362.2650	67.0000	680.7450	543.4950	517.9980	273.5280	314.2560	338.0000	2460.8800	743.6000	575.0000	478.2500	3299.9970	159.0000	305.9030	948.0000	129.6130	
934182000000.0000	167.2500	1223.0000	151.6780	137.8760	222.0000	1016.1100	341.4400	69.0000	668.8020	569.9770	529.5980	277.5380	303.8900	333.5000	2214.0100	794.5000	572.0000	419.5000	3598.0030	154.0000	323.3720	951.0000	116.9500	
926665200000.0000	184.2500	1102.5000	140.6060	136.6750	215.0000	777.3650	352.7200	71.0000	675.0580	559.2000	352.9990	202.2500	318.1190	301.5000	2434.5300	738.6000	621.5000	448.0000	3242.0120	332.5000	340.4530	1031.0000	95.1720	
938415600000.0000	185.7500	1094.0000	133.9430	130.4230	266.0000	861.6270	335.5830	80.0000	789.9380	577.0600	505.5990	236.1070	256.5280	394.0000	2520.4000	675.2000	571.5000	401.2500	2993.9910	150.0000	333.8540	968.0000	127.0310	
918201600000.0000	181.7500	893.5000	141.2920	125.4950	195.0000	620.4050	341.0060	60.0000	617.3350	558.5840	230.0000	168.3940	295.3520	168.5000	2566.2600	786.5000	577.0000	426.5000	3228.0070	317.5000	381.9900	927.5000	85.8730	
944812800000.0000	185.5000	626.5000	133.9430	119.9900	347.0000	1054.9400	260.5270	98.0000	177.1530	373.2100	694.9990	220.9610	244.5350	396.0000	2655.0600	549.5000	514.0000	419.2500	2966.0080	124.0000	371.7030	1432.5000	145.0170	
943516800000.0000	169.2500	642.0000	141.0960	122.2250	327.5000	974.8040	274.4100	83.0000	170.7840	480.9860	588.5980	225.4160	195.1410	422.5000	2818.9900	602.9000	511.0000	383.5000	3199.0140	133.0000	386.8430	1305.0000	134.6930	
932713200000.0000	162.0000	1198.0000	143.9380	139.3670	232.0000	904.1720	324.5200	76.0000	748.9910	575.2120	540.9980	279.3200	303.6860	346.0000	2185.7100	777.5000	582.0000	413.0000	4115.0110	156.0000	327.0600	1044.0000	111.7070	
929602800000.0000	165.0000	1180.5000	151.6780	157.2530	212.5000	851.3010	329.9430	66.0000	743.3040	564.1260	430.0000	240.5620	288.6440	293.5000	2429.6600	742.6000	626.0000	404.0000	4268.0000	146.0000	353.6510	1067.0000	108.8840	
921139200000.0000	166.7500	1021.5000	140.6060	134.5110	209.0000	720.3630	298.7060	55.0000	646.6240	516.0900	284.9980	180.4220	310.3940	174.0000	2388.6700	772.1000	532.5000	419.5000	3299.0140	275.0000	329.0010	1055.5000	84.9290	
925196400000.0000	187.7500	1123.5000	139.1370	143.8870	217.5000	846.7580	350.5500	54.0000	655.7230	508.3920	379.9990	214.2780	363.6510	285.0000	2476.4900	720.1000	565.0000	466.2500	3785.0080	313.0000	331.7180	1089.0000	90.3740	
928306800000.0000	184.7500	1123.0000	138.6460	130.9050	218.5000	772.4080	337.3190	64.0000	675.6270	581.9860	378.5990	216.5060	319.7450	265.5000	2384.7700	760.1000	596.0000	420.2500	3199.9970	172.0000	334.2420	1068.0000	102.8350	
916732800000.0000	181.5000	899.5000	156.3820	100.6130	185.0000	577.4470	377.8830	63.0000	638.6610	589.9920	239.0000	157.2570	282.3430	170.5000	2700.9200	794.0000	623.5000	425.5000	2790.0050	316.5000	423.3330	981.5000	84.2040	
919843200000.0000	172.7500	882.0000	141.1940	123.6920	185.0000	674.1020	320.8320	54.0000	672.5000	577.0600	270.9990	173.2940	326.6560	181.5000	2605.2900	815.0000	584.0000	441.0000	3080.9960	309.0000	354.0400	1118.5000	88.5590	
946454400000.0000	181.0000	615.0000	174.2880	143.8380	366.0000	1192.0700	296.5370	102.0000	173.7410	378.7530	707.9970	222.7430	231.9320	433.5000	2494.0600	629.8000	502.5000	404.7500	3680.9950	128.0000	368.7920	1492.0000	138.7260	
